课程号,课程名称
100063254,机器人创能训练与竞赛实践II
100063255,机器人交叉创新设计与实践
100064166,机器学习基础
100070006,C语言程序设计
100070010,Python语言程序设计
100070017,C语言程序设计基础
100070019,Python语言程序设计
100070020,Java语言程序设计
100070023,计算机科学与程序设计基础
100070024,人工智能与计算科学A
100070025,人工智能与计算科学B
100070027,C++程序设计
100071004,数据结构
100071007,操作系统
100071011,计算机网络
100071015,数据结构与算法设计
100072103,数据库原理与设计
100072107,面向对象技术与方法
100072201,物联网技术概论
100072203,无线传感器网络
100072207,射频识别技术
100072208,物联网数据处理
100073003,计算机专业基础实习
100073014,物联网应用系统开发与实践
100074103,软件测试与质量保证
100074104,移动互联系统分析与设计
100074105,Android技术开发基础
100074205,系统能力培养综合实践
100074301,自然语言理解初步
100074302,机器学习初步
100074304,计算机新技术专题
100074305,矩阵分析
100074306,随机过程
100074307,数据库原理
100074308,认知科学导论
100074309,人工智能
100074310,机器学习
100074311,计算机组成与结构
100074312,自然语言处理
100074313,人工智能导论
100074314,计算机视觉
100074315,深度学习
100074316,机器学习实践
100074317,大数据处理技术
100074320,编译原理与设计
100074322,数字图像处理
100074323,认知神经科学
100074326,强化学习
100074327,智能图形学
100074328,文本挖掘
100074330,模式识别
100074332,人机交互
100074336,并行编程原理与实践
100074341,人工智能通识导论
100074342,大数据基础与应用
100074343,机器学习与实践
100074344,自然语言处理与实践
100074403,网络与信息安全
100074407,知识工程
100074408,网络与通信
100074701,组合数学
100074702,最优化方法
100074801,JAVA语言程序设计
100074803,Linux系统编程
100076101,大数据技术导论
100076103,程序设计方法与实践
100076104,Web开发基础
100076105,大数据系统开发
100076201,数字逻辑
100076202,计算机系统导论
100076203,汇编语言与接口技术
100076204,计算机组成与体系结构
100076210,复杂度理论与近似算法
100076211,算法博弈论
100076213,计算机图形学
100076215,语音识别与合成
100076218,数据科学与算法
100076219,智能计算工程实践
100076220,虚拟现实技术
100076221,高性能科学计算
100076222,网络新技术前沿
100076223,深度学习基础
100076225,OceanBase高级数据库技术
100076226,人工智能基础
100081004,数字逻辑基础
100081012,软件工程基础
100081018,软件项目管理
100081042,离散数学
100081043,程序设计方法实践
100081044,面向对象技术与方法
100081045,数据库设计与开发
100081046,沟通与职业素养
100081047,软件需求工程与UML建模
100081048,操作系统与分布式计算
100081049,计算机网络与工程
100081050,软件体系结构与设计模式
100081051,软件质量与评测技术
100081052,计算机组成与体系结构
100081061,数据科学与大数据技术的数学基础
100081062,大数据处理技术
100081063,大数据分析技术
100083018,互联网应用开发基础训练
100083019,软件工程基础训练
100083020,软件工程综合实践
100085034,攻防对抗技术
100085035,网络安全工程
100085042,数据仓库与数据挖掘
100085043,云计算及应用
100085047,机器学习
100085048,大数据特色课程模块
100085049,大数据可视化与可视分析
100085052,数字图像处理
100085053,计算机图形学与可视化计算
100085054,游戏设计与开发
100085055,计算机动画与虚拟现实
100085057,交互式计算机图形学
100086018,开源软件开发
100086019,开源鸿蒙开发基础
100086022,数值分析
100086023,游戏引擎原理与应用
100086025,数字艺术设计
100086027,计算机病毒防治
100086035,深度学习与计算机视觉
100086036,智能仿真及应用
100090003,工程伦理
100090004,项目管理与经济决策
100090005,数据与情报
100090006,物理化学
100090007,材料力学
100090008,半导体物理
100090009,材料科学基础
100090010,物质结构现代分析方法
100090011,材料性能学
100090012,材料基因工程
100090013,高分子化学
100090014,高分子物理
100090015,材料信息学
100090017,高分子物理与化学
100090018,创新实验课A
100090019,创新实验课B
100091110,材料设计与合成
100091111,材料结构与表征
100091112,先进功能材料
100091113,先进制备技术与加工方法
100091216,超分子化学与材料
100091224,物质科学导论
100091225,智能信息材料
100091226,天然大分子与环境友好材料
100091227,生物医用高分子材料
100091228,无机-有机复合材料
100091230,光电材料与器件
100091231,量子材料
100091234,微纳加工技术与材料
100091235,能源材料绿色化回收
100091313,毕业设计（论文）
100091314,材料科学实验 1
100091315,材料科学实验 2
100092116,现代材料成型原理
100092117,智能成型与控制
100092118,表面工程与增材制造
100092119,传输原理及应用
100092120,先进材料成型工艺
100092221,材料成型质量工程
100092325,毕业设计（论文）
100093103,微连接基础
100093117,半导体制造技术基础
100093118,电子封装工艺与技术
100093119,电子封装结构与设计
100093120,电子制造工程导论
100093210,半导体器件
100093211,集成电路设计基础
100093307,毕业设计（论文）
100094107,高分子合成工艺与安全工程
100094108,聚合物结构性能表征
100094109,聚合物成型原理与工艺
100094110,国防用特种复合材料
100094209,超分子化学与材料
100094210,有机合成路线设计
100094211,天然高分子材料改性与应用
100094212,含能聚合物合成与性能
100094311,高分子化学实验
100094312,高分子物理实验
100094313,毕业设计（论文）
100095112,材料相变
100095113,材料微结构分析
100095115,现代材料制备技术
100095116,材料力学性能及失效分析
100095312,毕业设计（论文）
100096107,薄膜技术与薄膜材料
100096110,应用电化学
100096111,化学电源设计
100096112,储能材料与技术
100096113,新能源材料与器件
100096301,新型碳材料
100096314,毕业设计（论文）
100096400,工程材料基础
1001003,（英）新能源技术
1001007,（英）超分子化学
100101004,储能技术
100101005,化工智能制造
100101006,电化学测量原理
100101007,电化学原理
100101010,分离工程
100101011,分子治疗与抗体药物
100101012,工程制图
100101013,工业分析
100101014,过程控制原理
100101015,合成生物学
100101016,化工创新创业实践
100101017,化工过程建模与仿真
100101018,化工基础实验A(I)
100101019,化工基础实验A（II）
100101020,化工基础实验B
100101021,化工企业实践(14周)
100101022,化工热力学
100101023,化工设备与机械
100101024,化工设计与实践(I)
100101025,化工设计与实践（II）
100101026,化工设计与实践（III）
100101027,化工系统工程
100101028,化工与制药健康、安全与环保
100101030,化工原理A(Ⅰ)
100101031,化工原理A(Ⅱ)
100101032,化工制图与CAD
100101033,化工自动化与仪表
100101034,化学反应工程
100101035,化学工程基础（Ⅰ）
100101036,化学工程基础（II）
100101037,化学工艺学
100101038,化学制药工艺学
100101039,计算机科学与程序设计
100101040,节能减排新技术
100101041,精细化工实验
100101043,酶工程
100101044,膜分离技术
100101046,能源材料设计与制备
100101047,能源材料表征方法
100101048,能源化工创新实验
100101049,能源化工工艺学(Ⅰ)
100101050,能源化工工艺学(Ⅱ)
100101051,能源化工技术
100101052,能源化工专业实验
100101054,高分子化学与物理B
100101055,氢能与制氢技术导论
100101056,燃料电池技术
100101057,生物反应工程原理
100101058,生物工程与技术
100101059,生物化学B
100101060,生物药物分离技术
100101061,生物制药创新设计
100101062,生物制药工艺学
100101063,天然药物化学
100101064,微生物学
100101065,现代分离技术
100101066,学科前沿讲座
100101069,学生课外科技创新实践
100101070,药品生产质量管理工程
100101071,药物分子设计
100101072,药物合成反应
100101073,药学基础理论（Ⅰ）
100101074,药学基础理论（Ⅱ）
100101075,药学基础理论（Ⅲ）
100101076,药学基础理论（Ⅳ）
100101077,仪器分析实验
100101079,应用催化基础A
100101080,应用催化基础B
100101081,有机波谱分析B
100101082,炸药学
100101083,知识产权法基础
100101084,制药分离工程
100101087,制药工程综合实验（I）
100101088,制药工程综合实验（II）
100101089,制药企业实践-卓越工程师计划
100101091,智能化工实验
100101092,先进过程控制与智能决策
100101093,专业认知实习
100101094,专业认知实习
100101095,专业认知实习
100101096,专业实习
100101097,专业实习
100101098,专业实习
1001011,（英）化学生物学
100101100,工程经济与项目管理
100101101,化学工程基础A (I)
100101104,化工项目创新创业理论与实践
100101112,制药工程装备与工艺设计（I）
100101114,制药工程装备与工艺设计（II）
1001012,（英）药物制剂与工艺
1001013,（英）合成生物技术
1001014,（英）药物分子设计
1001017,（英）配位化学
1001018,（英）X射线晶体学
1001020,（英）化学与化学工程统计热力学
1001021,（英）能源应用当中的多相催化
1001022,（英）膜与膜过程原理
1001023,（英）碳中和化工技术
1001024,（英）高等仪器分析
1001026,（英）材料科学与工程基础
100160106,生物化学实验I
100160108,微生物学
100160109,微生物学实验
100160114,细胞生物学
100160115,基因工程
100160116,细胞生物学实验
100160124,蛋白质与酶工程
100160126,生物分离工程
100160127,微生物工程
100160128,遗传学
100160130,生物仪器分析
100160137,生物分离工程实验
100160140,分子生物学实验
100160141,专业英语
100160143,免疫学
100160160,生物化学（上）
100160161,生物化学（下）
100160162,生物化学实验A
100160163,动物学
100160164,动物学实验
100160165,微生物学
100160166,微生物学实验
100160167,细胞生物学
100160168,细胞生物学实验
100160169,分子生物学
100160170,分子生物学实验
100160173,物理化学
100160174,物理化学实验
100160175,遗传学B
100160176,现代遗传学实验
100160183,生理病理学
100160206,天然药物化学
100160210,生物统计学
100160212,生物材料学
100160213,纳米生物技术
100160222,生物药剂学与药物动力学
100160225,细胞与组织工程
100160226,生物过程与装备
100160228,医用生物技术
100160229,发育生物学
100160230,生物技术制药
100160243,环境生物技术
100160247,系统生物学
100160301,文献检索与科技论文写作
100160303,生命科学进展
100160304,生物化学实验II
100160306,仿真软件实验
100160307,实验室安全与实践
100160316,毕业设计（论文）
100160319,专业实习I
100160501,生命科学基础A
100160502,生命科学基础B
100171004,高等代数I
100171005,高等代数II
100171006,解析几何
100171007,课程设计I
100171018,数学分析I
100171019,数学分析II
100171020,数学分析III
100171030,专题讲座
100171031,现代应用数学讲座
100171032,毕业设计（论文）
100171033,数学分析II研讨课
100171035,数学分析III研讨课
100171036,高等代数II研讨课
100171038,数学分析I
100171039,数学分析II
100171040,数学分析III
100171041,数学竞赛研讨课
100171042,数学分析III（荣誉课）
100171043,数学模型
100171044,概率论（双语）
100171046,数学分析I（拔尖班）
100171047,数学分析II（拔尖班）
100171048,高等代数I（拔尖班）
100171049,高等代数II（拔尖班）
100171050,高等代数I（强基班）
100171052,高等代数II(强基班)
100171102,复变函数
100171105,近世代数
100171110,试验设计
100171114,实变函数
100171115,泛函分析
100171116,拓扑学
100171117,微分几何
100171119,微分流形初步
100171120,常微分方程
100171121,数学实验与实践
100171122,偏微分方程II
100171123,初等数论
100171124,抽象代数
100171125,微分流形
100171129,代数几何
100171130,一般拓扑学（双语）
100171133,实变函数
100171134,复变函数
100171203,最优化方法
100171205,离散数学
100171207,矩阵分析
100171208,偏微分方程数值解
100171209,控制论基础
100171211,数值计算方法
100171212,偏微分方程
100171215,机器学习
100171216,应用数值方法
100171219,信息论与密码
100171220,组合学（全英文）
100171301,概率论
100171302,数理统计
100171303,应用多元统计
100171304,应用随机过程
100171306,模糊数学
100171307,金融数学
100171309,统计计算
100171310,时间序列分析
100171311,可靠性统计
100171313,线性统计模型
100171316,贝叶斯理论和方法
100171317,统计模型与Python实践
100171319,统计学习
100171320,概率论选讲
100171321,数据采集方法
100172002,线性代数B
100172003,概率与数理统计
100172101,微积分A I
100172102,微积分B I
100172103,工科数学分析 I
100172110,线性代数A
100172201,微积分A II
100172202,微积分B II
100172203,工科数学分析 II
100180002,普通物理 AⅠ
100180008,电子线路
100180009,电子线路实验
100180010,C语言程序设计基础
100180014,普通物理实验I
100180015,普通物理实验Ⅱ
100180016,普通物理实验Ⅲ
100180019,博约科技讲座Ⅰ
100180039,博约科技讲座Ⅱ
100180044,普通物理ⅡB
100180045,普通物理ⅡA
100180046,光电综合实验
100180047,物理建模及应用
100180049,大学物理实验 Ⅱ
100180050,大学物理实验 Ⅲ
100180051,量子精密测量
100180052,信息光学
100180053,纳米科学前沿
100180054,凝聚态物理前沿
100180055,统计物理前沿
100180058,毕业设计（论文）
100180059,物理学导论
100180060,大学物理实验Ⅰ
100180062,大学物理实验Ⅰ（全英文）
100180111,大学物理AⅠ
100180114,普通物理Ⅰ
100180117,普通物理 II
100180121,大学物理AⅡ
100181219,普通物理Ⅴ
100181222,理论力学
100181314,科研实训
100181322,热力学与统计物理B
100181323,固体物理(Ⅰ)
100181325,近代物理实验
100182305,热力学与统计物理A
100182405,激光物理
100183208,纳米材料物理学导论
100190003,大学化学C
100190016,分析化学B
100190017,分析化学实验B
100190026,有机化学B
100190027,有机化学实验B
100190033,物理化学C
100191003,普通化学实验
100191005,大学化学A
100191007,无机化学（I）
100191008,无机化学实验（I）
100191010,无机化学（II）
100191014,分析化学（II）
100191020,表面与胶体化学
100191021,材料化学
100191022,材料模拟与设计
100191023,团簇化学
100191024,催化化学
100191025,分析化学A(I)
100191026,分析化学A(II)
100191028,高分子化学基础
100191029,高分子化学与物理
100191031,含能材料分析与表征
100191032,高分子化学与物理实验
100191033,高分子化学与物理实验 A
100191034,固体化学
100191035,含能材料的有机化学基础
100191036,合成化学
100191037,化学创新实践（I）
100191038,化学创新实践（Ⅱ）
100191039,化学化工实验室安全与环保
100191040,化学前沿讲座
100191041,化学前沿研讨课（二）（分析化学方向）
100191042,化学前沿研讨课（六）（纳米化学方向）
100191043,化学前沿研讨课（三）（有机化学和高分子化学方向）
100191044,化学前沿研讨课（四）（物理化学方向）
100191045,化学前沿研讨课（五）（理论与计算化学方向）
100191046,化学前沿研讨课（一）（无机合成方向）
100191047,化学实践
100191048,基础化学贯通课（II）
100191049,基础化学贯通课（III）
100191059,基础化学实验B（II）
100191060,基础化学实验B（III）
100191061,基础化学实验B（IV）
100191062,计算化学实践与分子模型
100191063,结构化学
100191066,量子化学基础
100191068,纳米材料制备实验
100191069,纳米电子学应用
100191070,纳米化学
100191071,纳米化学实验
100191072,纳米生物学
100191073,生命分析化学
100191074,生物化学
100191075,无机化学A
100191076,物理化学（I）
100191077,物理化学（Ⅱ）
100191078,物理化学A（I）
100191079,物理化学 A（Ⅱ）
100191080,现代材料分析技术
100191081,药物分析
100191082,有机波谱分析A
100191083,有机合成化学
100191084,有机化学(I)
100191085,有机化学(II)
100191086,有机化学A（I）
100191087,有机化学A（II）
100191090,专业实习
100191091,专业实习
100191092,专业实习
100191093,综合化学实验A（I）
100191096,物理化学课程研讨
100191097,有机化学课程研讨
100191098,纳米新能源材料与技术
100191099,高能物质化学
100191101,现代化学专题讲座
100191103,基础化学贯通课（IV）（Ⅰ）
100191104,基础化学贯通课（IV）（Ⅱ）
100191113,结构化学A
100191114,生物化学A
100191116,基础化学实验 (Ⅱ)（无机化学实验Ⅱ）
100191118,基础化学实验（IV）(仪器分析实验)
100191119,基础化学实验（V）(有机化学实验Ⅰ)
100191120,基础化学实验（VI）(有机化学实验Ⅱ)
100191121,基础化学实验（VII）(物理化学实验)
100191122,基础化学实验 AⅠ(无机化学实验）
100191123,基础化学实验 AⅡ（分析化学实验）
100191124,基础化学实验 AⅢ（仪器分析实验）
100191125,基础化学实验 A Ⅳ (有机化学实验Ⅰ)
100191126,基础化学实验 AⅤ（有机化学实验Ⅱ）
100191127,基础化学实验 AⅥ （物理化学实验）
100191128,纳米多孔化学
100191129,无机与分析化学
100191130,仿生结晶化学
100191131,有机化学C
100191132,纳米化学与微纳制造前沿讲座
100191133,纳米化学与微纳制造实践
100191134,化学实验室安全与环保
100191137,大学化学(协和医班)
100191138,有机化学实验C
100191201,普通化学（Ⅰ）
100191202,普通化学（Ⅱ）
100220006,逻辑学
100220009,学术论文写作与表达
100220032,西方哲学思想经典
100222101,社会学概论
100222106,心理咨询理论与方法
100222108,小组工作
100222112,人类行为与社会环境
100222115,社会心理学
100222116,自我探索与专业成长
100222118,小组工作实践
100222126,国际化社会工作实践
100222128,人际关系与沟通
100222129,家庭社会工作
100222131,社会保障概论
100222135,本土化社会工作调查与实践
100222138,专业化社会工作训练
100222139,心理健康与社会工作
100222140,社工综合实习（Ⅰ）
100222141,社工综合实习（Ⅱ）
100222145,智慧城市
100222149,儿童青少年社会工作
100222206,心理学与生活
100222207,个案工作
100222208,社会工作与社会发展
100222209,社区工作
100222210,社会政策
100222217,个案工作实践
100222219,社区工作实践(）
100222226,文化与心理健康
100222227,社会研究方法
100222228,质性研究方法
100222229,社会福利思想
100222231,社会性别研究
100222233,中国化马克思主义与社会工作
100223102,创新创业教育
100223104,人力资源管理
1002299901,学术写作
100230006,民事诉讼法
100230012,经济法（反不正当竞争法、反垄断法）
100230017,侵权责任法
100230018,环境与资源保护法
100230026,民商法案例研习
100230028,刑法案例研习
100230029,知识产权法案例研习
100230032,刑法分论
100230041,毕业设计（论文）
100230042,票据法
100230045,个人信息保护法
100230048,亲属继承法
100230049,国家安全法
100230053,法律诊所
100230057,知识产权法基础
100230059,法学经典选读
100230062,国际商事仲裁
100230069,刑事侦查学
100230073,税法
100230078,毕业设计（论文）
100230082,信息网络法概论
100230084,国际私法（双语）
100230092,法律文书写作（双语）
100240001,语言数据科学
100241104,综合英语IV
100241126,学术写作II
100241128,英语演讲与辩论
100241141,基础写作IV
100241144,英语视听与国际时政II
100241146,英语经典阅读II
100241148,英美文学II
100241150,英语笔译II
100241151,英语口译I
100241155,英语语言文学基础
100241157,跨文化交际与区域国别II
100241159,基础写作II（外教）
100241202,英语语法
100241205,科技英语
100241211,对外汉语教学
100241217,计算语言学导论
100241218,高级英语
100241220,逻辑学入门
100241301,莎士比亚戏剧
100241305,跨文化交际
100241408,毕业论文
100242135,基础日语IV
100242138,日语阅读与写作II
100242141,日本历史
100242143,高级日语II
100242146,日本文学史与作品研读II
100242148,中日翻译理论与实践II
100242149,日本古典文学
100242152,理解当代中国-日语读写
100242155,基础日语 II
100242159,日语视听说 II
100242163,日语会话 II
100242173,日本国家概况
100242307,近代日本的中国学研究
100242308,时事日语
100242311,社会学研究方法
100242318,东亚区域媒介与性别文化研究
100242408,毕业论文
100243115,德语文学史II
100243120,翻译理论与技巧II
100243121,德语口译实训I
100243128,基础德语 IV
100243130,高级德语Ⅱ
100243132,高级德语IV
100243134,德语语言学导论 II
100243136,德语写作 II
100243138,德语写作IV
100243140,科技德语II
100243142,基础德语II
100243148,基础德语II
100243302,现代德语文学史专题
100243310,德语纸媒分析
100243318,德语演讲课程
100243319,德国文化
100243320,德语语言文学学科前沿
100243406,德语时事论坛I
100243415,毕业设计（论文）
100243417,德语口语训练坊II
100243419,德语口语训练坊 IV
100244102,基础西班牙语II
100244127,西班牙语视听说II
100244129,西班牙语视听说IV
100244132,西班牙语口译I
100244134,西班牙国情文化导论
100244141,西班牙语听说IV
100244145,西班牙语阅读IV
100244147,高级西班牙语II
100244149,西班牙语笔译II
100244151,西班牙语写作与修辞II
100244153,基础西班牙语IV
100244162,西班牙语读写II
100244165,西班牙语听说II
100244168,西班牙语语音科学
100244307,西班牙语报刊阅读II
100244308,西班牙语文学 I
100244315,理解当代中国-西班牙语读写
100244316,西班牙语现当代经典选读
100244318,西班牙-拉美艺术概论
100244319,西语社会女性和新闻
100244408,毕业论文
100245104,跨文化英语交流II
100245106,国际英语交流II
100245204,学术用途英语四级
100245208,核心英语
100245211,国际英语沟通
100245310,学业英语听说II
100245312,学业英语读写II
100245402,大学英语（艺术班）II
100245404,大学英语（艺术班）IV
100245412,大学英语（体优班）IV
100245414,大学英语（体优班）AII
100245416,基础综合英语II
100245528,英语词汇学习的策略与方法
100245544,畅谈中国文化（英语）
100245546,跨文化交际英语
100245550,进阶英语阅读
100245552,英语报刊阅读
100245553,学术英语论文写作与发表入门
100247002,二外日语Ⅱ
100247004,二外日语Ⅳ
100247010,二外德语II
100247012,二外德语IV
100250016,设计构成3
100250017,造型综合表现
100250018,色彩综合表现
100250019,设计美学
100251019,设计心理学
100251032,设计表达2
100251034,基础设计2
100251035,计算机辅助设计1
100251036,视觉传达设计
100251041,产品设计2
100251043,产品设计4
100251050,快题设计与表现
100251053,设计调研
100251054,设计评价
100251055,交互与体验设计
100251056,智能硬件基础
100251057,设计思维与方法
100253024,标志与VI设计
100253025,插图设计
100253026,概念设计
100253027,广告创意及招贴设计
100253032,数字展示设计
100253042,摄影表达与实践
100253047,产品设计美学
100253048,人工智能设计基础
100253053,印刷与书籍设计
100253054,视觉思维与设计实践（双语）
100253055,智能系统设计国际工坊（双语）
100253056,设计问题研究
100253057,自然人机交互
100254009,景观设计原理
100254013,模型制作
100254015,室内设计原理
100254032,公园设计
100254033,建筑设计1
100254035,空间测绘
100254038,庭院景观设计
100254041,植物景观设计基础
100254042,住区景观设计
100254044,中外建筑史
100255004,非物质文化遗产田野考察方法
100255013,摄影与数字影像处理
100255019,中国传统民居
100255020,中国民间艺术概论
100255022,中外建筑史
100255025,文化创意与旅游规划
100255026,文化遗产史与文化思潮
100255028,文化遗产与创新设计
100257001,传统艺术元素与现代设计应用
100257002,金属工艺实践
100257003,漆艺工艺实践
100257005,陶瓷艺术实践
100257007,传统染织艺术的设计与创新
100257008,染织艺术设计与实践
100270013,中国近现代史纲要
100270015,形势与政策Ⅱ
100270017,形势与政策Ⅳ
100610026,专业导论（社会工作）
100740001,国家安全概论
101013001,理论力学（全英文）
101014001,材料力学（全英文）
101014003,工程力学（全英文）
101016001,Introduction to Thermal Systems Engineering
101027103,微系统设计与制造（全英文）
101027120,微处理器与汇编语言（全英文）
101027122,宏微系统流体力学（全英文）
101027125,MATLAB基础与机器人学应用（全英文）
101027129,传感与测试技术（全英文）
101027130,项目管理
101027131,科技创新创业
101027132,创新创业实践-智能机电系统综合实践
101030110,计算机技术与编程（全英文）
101031102,工程制图基础（全英文）
101037302,工程制图（英文）
101037303,科学研究与写作（英文）
101037304,机械原理（英文）
101037305,工程材料与应用（英文）
101037306,热力学（英文）
101037307,机械设计（英文）
101037308,机械设计综合课程设计（英文）
101037309,传热学（英文）
101037310,机械振动（英文）
101037311,系统建模与仿真（英文）
101037312,中国文化与跨文化交流（英文）
101037313,制造技术基础训练（双语）
101037315,控制原理与测试（英文）
101037316,流体力学（英文）
101037317,机械制造与装备（英文）
101037318,内燃机构造与原理（英文）
101037319,汽车结构与设计（英文）
101037324,工程设计实践（英文）
101037325,计算机辅助设计与工程（英文）
101037327,复变函数与积分变换（全英文）
101037334,工程创新实践（双语）
101037336,自动驾驶深度学习（英文）
101037341,ROS系统开发与实践（英文）
101037343,机械设计综合课程设计（英文）
101037344,工程概论与伦理（英文）
101037345,机械工程专业导论（英文）
101053202,C语言程序设计（全英文）
101062102,电路分析基础A(英文)
101062103,数据结构与算法设计（英文）
101062104,模拟电子技术基础A （英文）
101062106,信号分析与处理（英文）
101062120,电磁场（英文）
101062121,复变函数与积分变换（英文）
101062205,C++程序设计（英文）
101062219,电路分析基础实验A（英文）
101062222,模拟电子技术基础实验A （英文）
101063107,数字逻辑与CPU（英文）
101063108,自动控制理论Ⅰ（英文）
101063109,电力电子技术（英文）
101063110,电力系统分析（英文）
101063111,自动控制理论Ⅱ（英文）
101063112,电机及控制（英文）
101063113,传感器与检测技术（英文）
101063114,计算机控制系统（英文）
101063116,卡尔曼滤波与惯性导航基础
101063118,模式识别（全英文）
101063224,传感器与检测技术综合实验（全英文）
101070026,人工智能与计算科学（全英文）
101080081,计算机技术与编程（全英文）
101080082,C语言编程实践
101081062,大数据处理技术（全英文）
101180111,大学物理Ⅰ（全英文）
101190003,大学化学C（全英文）
101191001,电化学与电分析化学（全英文)
101191002,纳米科学与技术(全英文)
102015012,飞行器系统概论（双语）
102016001,飞行器制导控制原理（双语）
102023108,弹性力学（双语）
102023215,工程材料基础（双语）
102024106,有机材料化学基础
102024113,特种电源技术
102027117,毕业设计(论文)-全英文
102027120,机电控制技术（双语）
102027121,机器人学（双语）
102040004,应用光学
102040005,物理光学（双语）
102063114,自动控制理论Ⅰ(双语)
102063139,自动控制理论II(双语)
102063222,系统建模、仿真与控制（双语）
102101001,碳中和化工技术（双语）
102160105,生物化学（I）
102160107,生物化学（II）
102160117,分子生物学
102160129,神经生物学
102172301,线性代数B（双语）
102172401,概率论与数理统计（双语）
102191001,光电化学（双语）
102191002,配位化学（双语）
102191003,统计热力学（双语）
102222127,人格心理学
102230003,国际公法案例研习（双语）
102230004,国际民商事争议解决（双语）
102230009,国际经济法（双语）
102230018,国际公法（双语）
102230043,海商法(双语）
102230049,美国知识产权法（双语）
103016011,飞行力学（研究型课程）
103041067,光电测控系统专项实验（研究型）
103041080,智能测控系统专项实验
103051318,嵌入式系统原理与应用
103052210,信号与系统
103052316,数字信号处理
103052317,随机信号分析
103052318,雷达信号处理
103052319,智能信息安全与对抗
103053209,C语言程序设计
103053212,数据结构与算法设计（C++描述）
103053213,数据结构与算法设计（C描述）
103053314,计算机原理与应用
103053315,人工智能导论
103057312,数字通信原理
103063112,软件工程导论  (研究型)
103063118,DSP原理及应用(研究型)
103230001,中国法律史（研究型）
103230004,民法总论（研究型）
103230045,立法学（研究型）
103230047,法律方法（研究型）
105035301,精密制造工学基础
105050401,数值计算方法
105051001,智能网联电子系统综合设计
105052001,信号处理理论与技术Ⅰ
105052002,信号处理理论与技术Ⅱ
105052003,信号处理理论与技术Ⅲ
105057001,通信与网络基础理论及应用Ⅰ
105057002,通信与网络基础理论及应用Ⅱ
105057003,通信与网络基础理论及应用Ⅲ
105062101,工程原理实践
105062102,自动控制理论与实践
105062180,控制科学基本原理与应用I
105062201,产品设计实践
105062202,定量工程分析
105063181,控制科学基本原理与应用II
105063182,控制科学基本原理与应用III
105063184,控制系统仿真与应用
106033302,拆装实习（校企）
106033303,驾驶实习（校企）
106041052,光电显示系统设计与制造（校企合作）
106041054,薄膜原理与技术（校企合作）
106041055,光学系统制造（校企合作）
1600001,分子免疫学
1600007,机器学习与人工智能
1600013,神经生物学
1600014,生物大分子的结构与功能
1600024,生物医学机器人
1600031,微生物生理与代谢调控
1600035,现代神经生物技术与方法
1600036,现代数字信号处理
1600038,医学影像技术
1600058,化学生物学
1600059,高级生物化学与分子生物学实验
1600064,绿色合成与智能制造
1600065,医学生理病理学
1600068,微流控技术与建模
1600081,现代生物医药工程技术前沿
1600083,现代生物分离技术及实践
1600085,生物传感器与疾病诊断
1600087,应用生物统计学与生物信息学
1600090,生命科学导论2
1601001,(英)现代生物化学
1601004,(英)分子免疫学
1700001,数值分析
1700002,矩阵分析
1700003,科学与工程计算
1700004,近代数学基础
1700005,最优化方法
1700006,随机过程
1700007,现代回归方法
1700104,黎曼几何
1700105,现代偏微分方程
1700110,随机过程及其应用
1700111,控制综合理论
1700116,高等数理统计
1700133,随机微分方程
1700140,统计学习与数据挖掘
1700143,探索性数据分析与数据可视化
1700144,数据分析综合训练
1700145,金融数据分析
1700150,机器学习回归方法
1700151,Linux与数据库
1700153,人工智能的数学基础
1700157,多元统计分析
1700159,高等随机过程
1700161,统计前沿选讲
1700164,泛函分析
1700165,抽象代数
1700166,微分流形
1700167,李代数
1700168,随机分析选讲
1700169,傅里叶分析及其应用
1700170,表示论
1700171,动力系统
1701113,（英）算子半群理论及应用
1800020,非线性物理
1800022,纳米材料物理学导论
1800027,激光光谱学
1800029,半导体器件物理
1800030,凝聚态理论
1800032,高等计算物理
1800033,低温等离子体物理
1800040,量子开放系统I
1801004,（英）表面物理与表面分析
1801007,（英）量子态估计
2200001,科学道德与学术诚信
2200003,心理健康
2200004,工程领导力
2200031,科学技术史
2200070,发展与教育心理学专题
2200071,教育哲学
2200087,教育学专题
2200088,软科学方法与教育政策前沿
2200089,当代学习科学发展前沿
2200098,心理健康教育课程与教材研究
2200103,学校心理咨询方法与技术
2200105,基础教育改革研究
2200131,教育研究方法（专硕）
2200133,心理咨询理论与实践
2200134,团体心理辅导
2200135,创新创业教育
2200137,科学与人文综合素养
2200138,教育大数据与人工智能
2200139,正念与心理健康
2200152,教育研究方法
2200155,工程教育导论
2200156,教育研究设计与实践
2200160,创新创业的理论与实践
2200175,科学与技术教育课程与教材研究
2200176,科学与技术教育课程教学设计与实施
2201096,（英）中国教育改革
2201097,（英）女性主义研究方法
2201099,（英）教育改革与中国式现代化
2201100,（英）女性主义研究方法（高级）
2300109,物权法专题
2300113,民事诉讼法专题
2300118,法律史专题
2300119,立法学专题
2300140,经济法专题
2300147,环境与资源保护法实务
2300156,专利法实务
2300166,侵权法专题
2300167,债权法专题
2300168,证据法学专题
2300169,税法实务
2300178,著作权法实务
2300180,劳动与社会保障法实务
2300181,司法制度专题
2300204,司法制度研究
2300205,环境法前沿理论
2300207,法理学专题研究
2300220,国际法专题研究
2300221,社会保障法专题研究
2300222,诉讼法专题研究
